id,ownership_condition,buyer_condition,control_condition,scenario_topic
53,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
54,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
55,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
56,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
57,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
58,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
59,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
60,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
61,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
62,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
63,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
64,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
65,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
66,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
67,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
68,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
69,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
70,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
71,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
72,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
73,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
74,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
75,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
76,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
77,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
78,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
79,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $12,000 chartered helicopter flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
80,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
81,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
82,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
83,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
84,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
85,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
86,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
87,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
88,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
89,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
90,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
91,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
92,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
93,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
94,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
95,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
96,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $6,000 VIP lounge-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
